customer_id,signup_date,last_purchase_date,age_group,gender,province,acquisition_channel,num_purchases,avg_order_value_zar,total_clv_zar,customer_segment,churned,email_opt_in
CUST00001,2022-02-11,2023-06-20,18-24,Female,Western Cape,Google Search,12,629.16,7549.88,Lapsed,0,1
CUST00002,2021-09-27,2022-12-24,35-44,Male,KwaZulu-Natal,Meta Facebook,1,1149.23,1149.23,Lapsed,1,1
CUST00003,2021-05-23,2021-12-03,45-54,Male,Western Cape,Email,2,761.95,1523.91,Lapsed,1,1
CUST00004,2021-10-23,2022-09-03,unknown,Male,Western Cape,Meta Instagram,3,779.2,2337.59,Lapsed,1,1
CUST00005,2020-12-11,2022-08-10,25-34,Male,Western Cape,Google Search,10,874.07,8740.66,Lapsed,1,0
CUST00006,2021-04-14,2021-06-06,25-34,Male,Western Cape,Google Search,2,1166.03,2332.05,Lapsed,0,1
CUST00007,2021-12-20,2022-05-08,45-54,Male,unknown,Email,7,556.23,3893.64,Lapsed,1,1
CUST00008,2021-07-26,2023-06-25,45-54,Male,Gauteng,Organic,10,781.17,7811.66,Lapsed,1,1
CUST00009,2021-01-14,2021-12-07,35-44,Female,KwaZulu-Natal,Google Search,5,951.3,4756.49,Lapsed,0,1
CUST00010,2021-01-24,2021-03-13,18-24,Female,KwaZulu-Natal,Meta Facebook,4,491.99,1967.97,Lapsed,0,1
CUST00011,2022-02-25,2023-05-02,25-34,Female,Gauteng,Email,2,1238.21,2476.42,Lapsed,1,1
CUST00012,2020-09-26,2021-03-07,18-24,Female,Western Cape,Google Search,1,1202.32,1202.32,Lapsed,0,1
CUST00013,2021-04-24,2022-09-10,25-34,Female,Western Cape,Meta Facebook,8,1311.86,10494.86,High Value,0,1
CUST00014,2020-08-31,2022-07-29,55+,Female,Gauteng,Google Search,10,1514.68,15146.79,High Value,1,1
CUST00015,2021-07-12,2022-02-03,35-44,Female,KwaZulu-Natal,Google Search,1,660.29,660.29,Lapsed,1,1
CUST00016,2020-08-21,2021-12-11,45-54,Male,Gauteng,Organic,1,765.17,765.17,Lapsed,1,1
CUST00017,2021-08-11,2021-10-02,45-54,Female,Eastern Cape,Meta Facebook,3,534.95,1604.85,Lapsed,1,0
CUST00018,2021-10-02,2022-10-30,25-34,Female,Gauteng,Google Search,19,306.11,5816.08,Lapsed,1,0
CUST00019,2020-03-14,2021-09-02,25-34,Female,Gauteng,Organic,8,429.98,3439.83,Lapsed,0,1
CUST00020,2022-05-20,2023-05-26,45-54,Female,Gauteng,Meta Instagram,3,834.23,2502.69,Lapsed,1,1
CUST00021,2021-11-22,2022-09-10,25-34,Female,Gauteng,Google Display,1,1066.93,1066.93,Lapsed,1,1
CUST00022,2022-06-06,2022-06-27,25-34,Male,Gauteng,Meta Facebook,1,860.32,860.32,Lapsed,1,0
CUST00023,2022-08-25,2023-08-01,45-54,Female,Gauteng,Organic,2,751.89,1503.77,Lapsed,0,1
CUST00024,2020-08-30,2022-06-07,18-24,Male,KwaZulu-Natal,Email,5,744.44,3722.21,Lapsed,1,0
CUST00025,2022-06-22,2023-03-07,25-34,Male,Gauteng,Google Search,11,899.79,9897.67,Lapsed,0,1
CUST00026,2021-08-09,2022-06-20,18-24,Female,Gauteng,Google Search,1,1344.19,1344.19,Lapsed,0,0
CUST00027,2021-02-05,2021-10-27,45-54,Female,KwaZulu-Natal,Google Search,10,1081.93,10819.26,High Value,0,1
CUST00028,2022-07-10,2023-07-10,18-24,Male,Gauteng,Google Search,5,952.47,4762.33,Lapsed,1,1
CUST00029,2020-08-02,2021-08-06,unknown,Female,Eastern Cape,Google Search,2,941.49,1882.98,Lapsed,1,1
CUST00030,2020-09-13,2021-04-10,45-54,Female,Gauteng,Meta Instagram,1,736.01,736.01,Lapsed,1,1
CUST00031,2021-01-21,2022-04-29,18-24,Female,Gauteng,Organic,1,719.06,719.06,Lapsed,1,1
CUST00032,2022-07-03,2023-01-15,25-34,Male,Gauteng,Email,4,833.6,3334.41,Lapsed,0,1
CUST00033,2020-03-05,2020-06-05,25-34,Male,Limpopo,Organic,1,703.49,703.49,Lapsed,1,1
