date,channel,campaign,impressions,clicks,spend_zar,conversions,revenue_zar,ctr_pct,cpc_zar,conversion_rate_pct,roas,is_weekend,is_promo_period
2023-01-01,Google Search,Promo - Summer Sale,25012,1459,7037.99,37,52766.29,5.834,4.82,2.562,7.5,1,0
2023-01-01,Google Search,Brand Awareness Q1,50246,2873,15197.04,23,22274.58,5.719,5.29,0.804,1.47,1,0
2023-01-01,Google Search,Valentine Promo,6202,412,1758.54,6,4031.0,6.651,4.27,1.656,2.29,1,0
2023-01-01,Google Search,Retargeting - Cart Abandon,6281,232,843.91,18,24875.65,3.704,3.64,7.886,29.48,1,0
2023-01-01,Google Display,End of Year Clearance,27093,431,321.52,28,9781.39,1.594,0.75,6.666,30.42,1,0
2023-01-01,Google Display,Loyalty Programme,18234,261,322.01,15,12365.5,1.432,1.23,5.887,38.4,1,0
2023-01-01,Google Display,Promo - Summer Sale,16873,258,161.12,6,8817.54,1.533,0.62,2.507,54.73,1,0
2023-01-01,Google Display,New Product Launch,12307,173,155.55,2,1350.93,1.412,0.9,1.649,8.68,1,0
2023-01-01,Meta Facebook,Black Friday Blitz,43033,848,2723.16,40,70196.55,1.971,3.21,4.754,25.78,1,0
2023-01-01,Meta Facebook,Brand Awareness Q1,36253,551,1176.88,4,3139.81,1.52,2.14,0.776,2.67,1,0
2023-01-01,Meta Facebook,Valentine Promo,35079,907,2487.15,45,61663.09,2.586,2.74,5.041,24.79,1,0
2023-01-01,Meta Instagram,New Product Launch,9958,255,731.77,17,27520.25,2.568,2.87,6.987,37.61,1,0
2023-01-01,Meta Instagram,Black Friday Blitz,36456,708,2309.53,20,25357.83,1.942,3.26,2.946,10.98,1,0
2023-01-01,Email,Retargeting - Cart Abandon,21410,4325,2229.54,393,537668.56,20.202,0.52,9.106,241.16,1,0
2023-01-01,Email,Valentine Promo,9563,1614,267.33,84,50439.8,16.887,0.17,5.264,188.68,1,0
2023-01-01,Email,End of Year Clearance,24516,4249,0.0,91,81679.9,17.332,0.0,2.144,0.0,1,0
2023-01-01,Organic,End of Year Clearance,9070,45,0.0,1,597.25,0.5,0.0,2.603,0.0,1,0
2023-01-01,Organic,New Product Launch,30955,154,,5,2537.47,0.5,0.18,3.808,91.18,1,0
2023-01-01,Organic,Valentine Promo,30690,153,0.0,3,3386.04,0.5,0.0,2.488,0.0,1,0
2023-01-01,Organic,Retargeting - Cart Abandon,43035,215,9.86,6,2917.27,0.5,0.05,3.2,295.87,1,0
2023-01-02,Google Search,End of Year Clearance,30967,1990,10425.5,144,133691.17,6.429,5.24,7.285,12.82,0,0
2023-01-02,Google Search,Black Friday Blitz,16968,915,4536.3,73,40258.17,5.398,4.96,7.981,8.87,0,0
2023-01-02,Google Search,Valentine Promo,35078,2320,10552.61,37,15671.52,6.616,4.55,1.636,1.49,0,0
2023-01-02,Google Search,Back to School,9833,551,2371.47,11,6109.01,5.607,4.3,2.07,2.58,0,0
2023-01-02,Google Display,Loyalty Programme,33822,533,640.96,25,43904.67,1.578,1.2,4.704,68.5,0,0
2023-01-02,Google Display,Promo - Summer Sale,3044,41,42.17,2,871.74,1.374,1.03,5.762,20.67,0,0
2023-01-02,Google Display,New Product Launch,38109,617,1322.29,38,55684.71,1.621,2.14,6.256,42.11,0,0
2023-01-02,Google Display,End of Year Clearance,25421,375,90.23,6,5877.15,1.478,0.24,1.781,65.14,0,0
2023-01-02,Meta Facebook,Brand Awareness Q1,14738,549,1484.4,12,6111.86,3.732,2.7,2.277,4.12,0,0
2023-01-02,Meta Facebook,Black Friday Blitz,22540,431,1453.08,29,31647.61,1.916,3.37,6.892,21.78,0,0
2023-01-02,Meta Facebook,Back to School,16430,336,1176.47,6,8453.47,2.045,3.5,2.07,7.19,0,0
2023-01-02,Meta Instagram,End of Year Clearance,35314,1523,3967.01,17,28739.02,4.314,2.6,1.136,7.24,0,0
2023-01-02,Meta Instagram,Brand Awareness Q1,23202,625,1452.92,8,5607.82,2.698,2.32,1.338,3.86,0,0
2023-01-02,Meta Instagram,Black Friday Blitz,7629,250,660.07,3,3474.05,3.284,2.64,1.6,5.26,0,0
2023-01-02,Meta Instagram,Retargeting - Cart Abandon,7143,200,701.35,25,27814.43,2.807,3.51,12.553,39.66,0,0
2023-01-02,Email,Retargeting - Cart Abandon,39144,8887,0.0,306,341265.79,22.706,0.0,3.449,0.0,0,0
2023-01-02,Email,Back to School,30859,6423,0.0,497,843107.42,20.815,0.0,7.751,0.0,0,0
2023-01-02,Organic,New Product Launch,27732,138,17.28,5,5571.71,0.5,0.13,4.067,322.44,0,0
2023-01-02,Organic,Black Friday Blitz,10589,52,7.62,1,299.97,0.5,0.15,2.735,39.37,0,0
2023-01-02,Organic,End of Year Clearance,5310,26,0.0,1,814.98,0.5,0.0,5.118,0.0,0,0
2023-01-02,Organic,Valentine Promo,16944,84,48.66,0,0.0,0.5,0.58,1.05,-3.37,0,0
2023-01-03,Google Search,New Product Launch,5539,359,1763.06,25,11697.94,6.495,4.91,7.017,6.64,0,0
2023-01-03,Google Search,Promo - Summer Sale,18474,941,3815.98,27,28290.82,5.096,4.06,2.949,7.41,0,0
2023-01-03,Google Display,Retargeting - Cart Abandon,29638,474,634.38,17,8504.78,1.602,1.34,3.733,13.41,0,0
2023-01-03,Google Display,Back to School,31255,605,,21,20412.1,1.936,1.07,3.48,31.6,0,0
2023-01-03,Google Display,Promo - Summer Sale,6862,85,56.49,4,7204.65,1.243,0.66,5.714,127.54,0,0
2023-01-03,Google Display,New Product Launch,9337,160,229.86,2,2797.25,1.714,1.44,1.424,12.17,0,0
2023-01-03,Meta Facebook,New Product Launch,15041,262,675.11,12,6810.45,1.743,2.58,4.754,10.09,0,0
2023-01-03,Meta Facebook,End of Year Clearance,15132,284,819.79,8,5774.82,1.877,2.89,2.95,7.04,0,0
2023-01-03,Meta Instagram,Back to School,5873,181,566.37,10,11109.93,3.092,3.13,5.565,19.62,0,0
2023-01-03,Meta Instagram,Promo - Summer Sale,4145,138,502.53,10,17143.08,3.336,3.64,7.783,34.11,0,0
2023-01-03,Email,Retargeting - Cart Abandon,34137,4992,1285.53,349,559809.09,14.624,0.26,6.991,435.47,0,0
2023-01-03,Email,Loyalty Programme,7099,2262,645.68,48,17177.13,31.87,0.29,2.152,26.6,0,0
2023-01-03,Organic,Black Friday Blitz,31199,155,0.0,9,12834.89,0.5,0.0,5.876,0.0,0,0
2023-01-03,Organic,Back to School,39035,195,0.0,10,10573.11,0.5,0.0,5.633,0.0,0,0
2023-01-03,Organic,Retargeting - Cart Abandon,16602,83,28.48,4,6695.97,0.5,0.34,4.923,235.11,0,0
2023-01-04,Google Search,End of Year Clearance,6510,475,2152.77,6,6032.51,7.307,4.53,1.351,2.8,0,0
2023-01-04,Google Search,Brand Awareness Q1,37449,2552,10552.05,26,45364.66,6.816,4.13,1.051,4.3,0,0
2023-01-04,Google Search,Valentine Promo,8272,431,2401.52,29,13158.11,5.218,5.57,6.959,5.48,0,0
2023-01-04,Google Search,Retargeting - Cart Abandon,6440,400,1667.64,36,25048.13,6.224,4.17,9.162,15.02,0,0
2023-01-04,Google Display,New Product Launch,7975,116,168.49,4,4958.45,1.466,1.45,3.935,29.43,0,0
2023-01-04,Google Display,Brand Awareness Q1,36660,513,493.78,8,5694.22,1.4,0.96,1.607,11.53,0,0
2023-01-04,Meta Facebook,Valentine Promo,12459,336,728.97,19,15098.49,2.702,2.17,5.702,20.71,0,0
2023-01-04,Meta Facebook,New Product Launch,24781,747,1524.12,56,95484.78,3.016,2.04,7.503,62.65,0,0
2023-01-04,Meta Facebook,Retargeting - Cart Abandon,4243,91,274.99,6,10941.48,2.146,3.02,6.733,39.79,0,0
2023-01-04,Meta Facebook,Back to School,9088,224,264.18,3,1772.34,2.47,1.18,1.513,6.71,0,0
2023-01-04,Meta Instagram,Retargeting - Cart Abandon,18882,425,1664.39,24,13603.56,2.251,3.92,5.739,8.17,0,0
2023-01-04,Meta Instagram,Valentine Promo,38379,1181,4512.17,69,85061.19,3.078,3.82,5.925,18.85,0,0
2023-01-04,Meta Instagram,Brand Awareness Q1,38245,1149,2998.02,6,9301.23,3.006,2.61,0.527,3.1,0,0
2023-01-04,Email,Promo - Summer Sale,10663,1688,58.91,122,173956.45,15.839,0.03,7.228,2952.92,0,0
2023-01-04,Email,Retargeting - Cart Abandon,13243,2699,2140.33,125,153127.84,20.384,0.79,4.65,71.54,0,0
2023-01-04,Email,Back to School,26537,2911,0.0,70,88992.82,10.972,0.0,2.425,0.0,0,0
2023-01-04,Organic,End of Year Clearance,6469,32,0.0,0,0.0,0.5,0.0,1.646,0.0,0,0
2023-01-04,Organic,Back to School,20837,104,18.56,1,695.08,0.5,0.18,1.309,37.45,0,0
2023-01-04,Organic,Retargeting - Cart Abandon,12022,60,24.39,5,3775.1,0.5,0.41,8.736,154.78,0,0
2023-01-05,Google Search,Back to School,9916,528,2573.29,8,13166.11,5.328,4.87,1.527,5.12,0,0
2023-01-05,Google Search,Loyalty Programme,12757,783,4023.71,37,57607.71,6.141,5.14,4.819,14.32,0,0
2023-01-05,Google Search,Black Friday Blitz,39483,2273,9981.11,46,24820.37,5.757,4.39,2.037,2.49,0,0
2023-01-05,Google Search,Brand Awareness Q1,23614,1647,8486.56,29,49390.55,6.976,5.15,1.776,5.82,0,0
2023-01-05,Google Display,Valentine Promo,19693,277,377.3,15,12916.48,1.407,1.36,5.669,34.23,0,0
2023-01-05,Google Display,New Product Launch,39740,667,527.52,47,44563.1,1.679,0.79,7.189,84.48,0,0
2023-01-05,Meta Facebook,Retargeting - Cart Abandon,14099,266,898.83,30,11736.54,1.893,3.38,11.472,13.06,0,0
2023-01-05,Meta Facebook,New Product Launch,25082,705,1969.68,45,42434.83,2.814,2.79,6.477,21.54,0,0
2023-01-05,Meta Facebook,Loyalty Programme,19300,417,1370.91,11,16379.21,2.161,3.29,2.868,11.95,0,0
2023-01-05,Meta Facebook,Promo - Summer Sale,9671,226,679.46,8,3136.46,2.339,3.01,3.678,4.62,0,0
2023-01-05,Meta Instagram,New Product Launch,32754,1030,3319.16,35,53790.83,3.146,3.22,3.448,16.21,0,0
2023-01-05,Meta Instagram,End of Year Clearance,17679,554,1316.28,14,18017.18,3.139,2.38,2.56,13.69,0,0
2023-01-05,Meta Instagram,Loyalty Programme,28753,825,2685.75,27,43584.49,2.872,3.26,3.298,16.23,0,0
2023-01-05,Email,Valentine Promo,38569,6720,0.0,222,86384.11,17.424,0.0,3.318,0.0,0,0
2023-01-05,Email,Loyalty Programme,20108,3410,550.24,76,132505.84,16.961,0.16,2.25,240.81,0,0
2023-01-05,Email,End of Year Clearance,20656,4857,0.0,61,74197.07,23.518,0.0,1.268,0.0,0,0
2023-01-05,Organic,Valentine Promo,36861,184,20.62,3,4965.36,0.5,0.11,1.81,240.8,0,0
2023-01-05,Organic,Loyalty Programme,15505,77,0.94,2,2855.08,0.5,0.01,2.783,3037.32,0,0
2023-01-05,Organic,Black Friday Blitz,3835,19,20.46,0,0.0,0.5,1.08,4.639,-7.5,0,0
2023-01-06,Google Search,New Product Launch,25075,1559,8722.45,83,108727.02,6.22,5.59,5.362,12.47,0,0
2023-01-06,Google Search,Valentine Promo,10747,567,1949.38,34,26600.74,5.281,3.44,6.038,13.65,0,0
2023-01-06,Google Search,End of Year Clearance,22889,1414,6604.62,80,66212.45,6.18,4.67,5.668,10.03,0,0
2023-01-06,Google Search,Brand Awareness Q1,22851,1212,4909.56,29,18315.26,5.308,4.05,2.44,3.73,0,0
2023-01-06,Google Display,Loyalty Programme,22062,452,808.95,17,26407.49,2.049,1.79,3.843,32.64,0,0
2023-01-06,Google Display,Retargeting - Cart Abandon,22057,420,479.95,20,19714.32,1.906,1.14,4.813,41.08,0,0
2023-01-06,Google Display,Black Friday Blitz,23320,307,369.2,13,12894.11,1.32,1.2,4.255,34.92,0,0
2023-01-06,Google Display,End of Year Clearance,16779,283,188.53,12,17982.52,1.687,0.67,4.578,95.38,0,0
2023-01-06,Meta Facebook,Retargeting - Cart Abandon,25026,690,2177.51,18,30922.26,2.757,3.16,2.646,14.2,0,0
2023-01-06,Meta Facebook,Promo - Summer Sale,17624,553,1640.28,31,20797.9,3.139,2.97,5.71,12.68,0,0
2023-01-06,Meta Facebook,End of Year Clearance,16825,430,1457.55,8,3349.58,2.558,3.39,2.031,2.3,0,0
2023-01-06,Meta Facebook,Black Friday Blitz,35168,1187,3175.84,62,90981.51,3.378,2.68,5.279,28.65,0,0
2023-01-06,Meta Instagram,Loyalty Programme,28486,1088,2847.88,48,33918.53,3.821,2.62,4.461,11.91,0,0
2023-01-06,Meta Instagram,New Product Launch,3892,75,188.13,5,7580.35,1.945,2.51,7.249,40.29,0,0
2023-01-06,Meta Instagram,Valentine Promo,9850,337,1297.85,21,14028.53,3.431,3.85,6.449,10.81,0,0
2023-01-06,Email,End of Year Clearance,20145,2625,0.0,194,102027.06,13.032,0.0,7.422,0.0,0,0
2023-01-06,Email,Back to School,11930,2133,0.0,140,184500.46,17.882,0.0,6.61,0.0,0,0
2023-01-06,Email,Brand Awareness Q1,38976,7955,1458.14,205,353961.3,20.411,0.18,2.584,242.75,0,0
2023-01-06,Email,Black Friday Blitz,31747,4503,0.0,238,331712.47,14.187,0.0,5.289,0.0,0,0
2023-01-06,Organic,Loyalty Programme,33615,168,0.0,6,8481.88,0.5,0.0,4.15,0.0,0,0
2023-01-06,Organic,Back to School,21119,105,0.0,6,6395.73,0.5,0.0,6.361,0.0,0,0
2023-01-06,Organic,Promo - Summer Sale,19661,98,0.0,2,967.5,0.5,0.0,2.922,0.0,0,0
2023-01-06,Organic,Valentine Promo,21668,108,33.17,2,1825.46,0.5,0.31,2.641,55.03,0,0
2023-01-07,Google Search,Promo - Summer Sale,36267,1925,8397.76,112,153462.08,5.309,4.36,5.858,18.27,1,0
2023-01-07,Google Search,Retargeting - Cart Abandon,8614,658,3502.19,41,33971.09,7.64,5.32,6.247,9.7,1,0
2023-01-07,Google Search,End of Year Clearance,43882,2796,16886.28,109,71064.09,6.374,6.04,3.91,4.21,1,0
2023-01-07,Google Search,Loyalty Programme,39630,1923,7108.9,71,104141.17,4.853,3.7,3.726,14.65,1,0
2023-01-07,Google Display,Brand Awareness Q1,33489,359,314.74,5,4361.09,1.073,0.88,1.545,13.86,1,0
2023-01-07,Google Display,Loyalty Programme,40441,713,852.76,33,46998.23,1.764,1.2,4.768,55.11,1,0
2023-01-07,Google Display,New Product Launch,22727,282,553.16,12,9056.86,1.242,1.96,4.418,16.37,1,0
2023-01-07,Google Display,End of Year Clearance,44756,645,491.61,7,5585.15,1.443,0.76,1.203,11.36,1,0
2023-01-07,Meta Facebook,Loyalty Programme,15236,526,1104.98,41,46216.24,3.455,2.1,7.865,41.83,1,0
2023-01-07,Meta Facebook,Retargeting - Cart Abandon,37143,838,2098.19,68,88998.98,2.256,2.5,8.229,42.42,1,0
2023-01-07,Meta Facebook,End of Year Clearance,11075,230,675.1,12,6551.12,2.085,2.94,5.499,9.7,1,0
2023-01-07,Meta Facebook,New Product Launch,43114,882,2215.24,20,14695.61,2.046,2.51,2.272,6.63,1,0
2023-01-07,Meta Instagram,New Product Launch,32903,794,2500.83,50,45136.93,2.413,3.15,6.329,18.05,1,0
2023-01-07,Meta Instagram,Back to School,38980,1296,3588.22,35,16520.86,3.326,2.77,2.766,4.6,1,0
2023-01-07,Meta Instagram,Retargeting - Cart Abandon,5169,99,226.34,9,3839.33,1.917,2.29,9.989,16.96,1,0
2023-01-07,Email,New Product Launch,7459,1099,350.91,69,118826.35,14.744,0.32,6.28,338.62,1,0
2023-01-07,Email,Promo - Summer Sale,20851,2844,0.0,195,243942.14,13.64,0.0,6.875,0.0,1,0
2023-01-07,Email,Loyalty Programme,23792,3953,1988.94,74,97617.56,16.616,0.5,1.884,49.08,1,0
2023-01-07,Organic,New Product Launch,35745,178,47.15,3,3979.84,0.5,0.26,2.175,84.41,1,0
2023-01-07,Organic,Back to School,12421,62,17.89,3,1721.77,0.5,0.29,6.445,96.24,1,0
2023-01-07,Organic,Valentine Promo,30584,152,6.58,2,743.33,0.5,0.04,1.757,112.97,1,0
2023-01-07,Organic,Retargeting - Cart Abandon,31061,155,26.16,12,19917.28,0.5,0.17,8.049,761.36,1,0
2023-01-08,Google Search,Loyalty Programme,24345,1334,6266.1,22,32257.94,5.481,4.7,1.713,5.15,1,0
2023-01-08,Google Search,New Product Launch,14357,1218,6011.51,80,93582.97,8.49,4.94,6.574,15.57,1,0
2023-01-08,Google Search,Brand Awareness Q1,7998,440,1531.61,7,6596.42,5.51,3.48,1.715,4.31,1,0
2023-01-08,Google Display,Promo - Summer Sale,38751,540,652.97,36,18444.42,1.395,1.21,6.756,28.25,1,0
2023-01-08,Google Display,Valentine Promo,34920,500,807.35,27,41451.66,1.434,1.61,5.449,51.34,1,0
2023-01-08,Google Display,Brand Awareness Q1,17051,295,135.91,5,7298.77,1.731,0.46,2.024,53.7,1,0
2023-01-08,Meta Facebook,Black Friday Blitz,26934,617,1922.81,20,14573.5,2.292,3.12,3.256,7.58,1,0
2023-01-08,Meta Facebook,Back to School,11373,298,765.96,8,7859.33,2.624,2.57,2.952,10.26,1,0
2023-01-08,Meta Facebook,New Product Launch,43906,909,2577.73,45,59253.77,2.072,2.84,4.989,22.99,1,0
2023-01-08,Meta Facebook,Loyalty Programme,32799,874,2900.6,10,15736.81,2.667,3.32,1.201,5.43,1,0
2023-01-08,Meta Instagram,Back to School,33993,820,2359.84,53,44780.5,2.413,2.88,6.585,18.98,1,0
2023-01-08,Meta Instagram,New Product Launch,27814,680,2403.67,33,36541.74,2.447,3.53,4.891,15.2,1,0
2023-01-08,Email,Promo - Summer Sale,38732,9588,0.0,423,612821.36,24.756,0.0,4.42,0.0,1,0
2023-01-08,Email,New Product Launch,43571,10189,3333.67,562,596659.19,23.386,0.33,5.521,178.98,1,0
2023-01-08,Organic,Promo - Summer Sale,22918,114,139.41,4,2837.01,0.5,1.22,3.831,20.35,1,0
2023-01-08,Organic,Black Friday Blitz,35393,176,42.33,7,7883.63,0.5,0.24,4.313,186.24,1,0
2023-01-09,Google Search,End of Year Clearance,32340,2123,11551.27,61,43855.74,6.566,5.44,2.896,3.8,0,0
2023-01-09,Google Search,Valentine Promo,11703,630,2523.27,38,30661.53,5.387,4.01,6.049,12.15,0,0
2023-01-09,Google Search,Retargeting - Cart Abandon,38145,2789,10190.36,341,460907.28,7.313,3.65,12.25,45.23,0,0
2023-01-09,Google Display,New Product Launch,21040,288,199.86,17,29692.39,1.372,0.69,6.072,148.57,0,0
2023-01-09,Google Display,Back to School,37793,575,319.14,29,51121.46,1.522,0.56,5.178,160.19,0,0
2023-01-09,Meta Facebook,Black Friday Blitz,26482,883,2357.79,19,6739.16,3.335,2.67,2.256,2.86,0,0
2023-01-09,Meta Facebook,New Product Launch,37882,895,1299.14,16,6645.11,2.364,1.45,1.886,5.12,0,0
2023-01-09,Meta Instagram,End of Year Clearance,11159,381,1533.33,20,29056.29,3.418,4.02,5.465,18.95,0,0
2023-01-09,Meta Instagram,Black Friday Blitz,9588,223,978.23,15,17747.74,2.336,4.39,7.109,18.14,0,0
2023-01-09,Email,Back to School,15088,2702,267.61,209,149634.7,17.913,0.1,7.758,559.15,0,0
2023-01-09,Email,End of Year Clearance,34021,5454,0.0,98,43476.62,16.031,0.0,1.799,0.0,0,0
2023-01-09,Email,Retargeting - Cart Abandon,34870,6410,0.0,155,196018.72,18.383,0.0,2.43,0.0,0,0
2023-01-09,Organic,Retargeting - Cart Abandon,38560,192,119.62,23,10476.11,0.5,0.62,12.23,87.58,0,0
2023-01-09,Organic,End of Year Clearance,19093,95,0.0,1,1302.88,0.5,0.0,1.829,0.0,0,0
2023-01-10,Google Search,New Product Launch,21931,1777,8827.85,124,221661.93,8.103,4.97,7.021,25.11,0,0
2023-01-10,Google Search,Loyalty Programme,23373,1085,4597.95,54,23713.91,4.645,4.24,4.98,5.16,0,0
2023-01-10,Google Search,End of Year Clearance,8891,609,2667.32,46,29884.49,6.856,4.38,7.633,11.2,0,0
2023-01-10,Google Search,Back to School,17184,1122,4846.5,32,15198.96,6.533,4.32,2.853,3.14,0,0
2023-01-10,Google Display,Retargeting - Cart Abandon,12717,214,320.26,3,2947.78,1.685,1.5,1.63,9.2,0,0
