date,store,product,units_sold,unit_price_zar,discount_pct,revenue_zar,province,is_promo_period
2023-01-01,Fourways Mall,Sports Bag,0.0,759.05,5.0,0.0,Gauteng,0
2023-01-01,Fourways Mall,Socks Bundle,91.0,189.05,5.0,17203.55,Gauteng,0
2023-01-01,Fourways Mall,Formal Shoes,12.0,1804.05,5.0,21648.6,Gauteng,0
2023-01-01,Fourways Mall,Sandals,116.0,499.0,0.0,57884.0,Gauteng,0
2023-01-01,Fourways Mall,Casual Sneakers,41.0,899.0,0.0,36859.0,Gauteng,0
2023-01-01,Sandton City,Kids Shoes,61.0,649.0,0.0,39589.0,Gauteng,0
2023-01-01,Sandton City,Work Boots,20.0,1299.0,0.0,25980.0,Gauteng,0
2023-01-01,Sandton City,Sports Bag,74.0,719.1,10.0,53213.4,Gauteng,0
2023-01-01,Menlyn Park,Formal Shoes,46.0,1804.05,5.0,82986.3,Gauteng,0
2023-01-01,Menlyn Park,Casual Sneakers,87.0,899.0,0.0,78213.0,Gauteng,0
2023-01-01,Menlyn Park,Socks Bundle,,179.1,10.0,4656.6,Gauteng,0
2023-01-01,Menlyn Park,Running Shoes,13.0,1499.0,0.0,19487.0,Gauteng,0
2023-01-01,Menlyn Park,Kids Shoes,43.0,649.0,0.0,27907.0,Gauteng,0
2023-01-01,Menlyn Park,Sports Bag,60.0,799.0,0.0,47940.0,Gauteng,0
2023-01-01,Gateway Durban,Work Boots,22.0,1299.0,0.0,28578.0,KwaZulu-Natal,0
2023-01-01,Gateway Durban,Formal Shoes,73.0,1709.1,10.0,124764.3,KwaZulu-Natal,0
2023-01-01,Gateway Durban,Casual Sneakers,65.0,809.1,10.0,52591.5,KwaZulu-Natal,0
2023-01-01,Canal Walk CT,Casual Sneakers,31.0,809.1,10.0,25082.1,Western Cape,0
2023-01-01,Canal Walk CT,Socks Bundle,31.0,199.0,0.0,6169.0,Western Cape,0
2023-01-01,Canal Walk CT,Running Shoes,70.0,1349.1,10.0,94437.0,Western Cape,0
2023-01-01,Canal Walk CT,Sports Bag,76.0,719.1,10.0,54651.6,Western Cape,0
2023-01-01,Canal Walk CT,Formal Shoes,109.0,1899.0,0.0,206991.0,Western Cape,0
2023-01-01,Eastgate JHB,Work Boots,27.0,1299.0,0.0,35073.0,Gauteng,0
2023-01-01,Eastgate JHB,Formal Shoes,20.0,1899.0,0.0,37980.0,Gauteng,0
2023-01-01,Eastgate JHB,Casual Sneakers,123.0,899.0,0.0,110577.0,Gauteng,0
2023-01-01,Online Store,Sports Bag,,719.1,10.0,75505.5,Online,0
2023-01-01,Online Store,Sandals,64.0,449.1,10.0,28742.4,Online,0
2023-01-01,Online Store,Kids Shoes,36.0,584.1,10.0,21027.6,Online,0
2023-01-01,Online Store,Socks Bundle,51.0,189.05,5.0,9641.55,Online,0
2023-01-01,Online Store,Running Shoes,177.0,1424.05,5.0,252056.85,Online,0
2023-01-01,Online Store,Work Boots,108.0,1299.0,0.0,140292.0,Online,0
2023-01-02,Fourways Mall,Running Shoes,67.0,1424.05,5.0,95411.35,Gauteng,0
2023-01-02,Fourways Mall,Formal Shoes,67.0,1899.0,0.0,127233.0,Gauteng,0
2023-01-02,Fourways Mall,Socks Bundle,38.0,199.0,0.0,7562.0,Gauteng,0
2023-01-02,Sandton City,Work Boots,15.0,1299.0,0.0,19485.0,Gauteng,0
2023-01-02,Sandton City,Socks Bundle,21.0,199.0,0.0,4179.0,Gauteng,0
2023-01-02,Sandton City,Formal Shoes,32.0,1899.0,0.0,60768.0,Gauteng,0
2023-01-02,Sandton City,Kids Shoes,43.0,649.0,0.0,27907.0,Gauteng,0
2023-01-02,Sandton City,Sports Bag,8.0,799.0,0.0,6392.0,Gauteng,0
2023-01-02,Sandton City,Sandals,42.0,499.0,0.0,20958.0,Gauteng,0
2023-01-02,Menlyn Park,Kids Shoes,103.0,649.0,0.0,66847.0,Gauteng,0
2023-01-02,Menlyn Park,Formal Shoes,40.0,1804.05,5.0,72162.0,Gauteng,0
2023-01-02,Menlyn Park,Casual Sneakers,78.0,899.0,0.0,70122.0,Gauteng,0
2023-01-02,Menlyn Park,Sandals,49.0,499.0,0.0,24451.0,Gauteng,0
2023-01-02,Gateway Durban,Socks Bundle,23.0,199.0,0.0,4577.0,KwaZulu-Natal,0
2023-01-02,Gateway Durban,Formal Shoes,98.0,1899.0,0.0,186102.0,KwaZulu-Natal,0
2023-01-02,Gateway Durban,Work Boots,55.0,1169.1,10.0,64300.5,KwaZulu-Natal,0
2023-01-02,Gateway Durban,Sandals,9.0,499.0,0.0,4491.0,KwaZulu-Natal,0
2023-01-02,Gateway Durban,Sports Bag,8.0,799.0,0.0,6392.0,KwaZulu-Natal,0
2023-01-02,Gateway Durban,Casual Sneakers,75.0,899.0,0.0,67425.0,KwaZulu-Natal,0
2023-01-02,Canal Walk CT,Socks Bundle,34.0,199.0,0.0,6766.0,Western Cape,0
2023-01-02,Canal Walk CT,Casual Sneakers,15.0,899.0,0.0,13485.0,Western Cape,0
2023-01-02,Canal Walk CT,Running Shoes,46.0,1349.1,10.0,62058.6,Western Cape,0
2023-01-02,Canal Walk CT,Work Boots,109.0,1299.0,0.0,141591.0,Western Cape,0
2023-01-02,Canal Walk CT,Kids Shoes,121.0,649.0,0.0,78529.0,Western Cape,0
2023-01-02,Eastgate JHB,Running Shoes,112.0,1499.0,0.0,167888.0,Gauteng,0
2023-01-02,Eastgate JHB,Casual Sneakers,16.0,899.0,0.0,14384.0,Gauteng,0
2023-01-02,Eastgate JHB,Sandals,74.0,499.0,0.0,36926.0,Gauteng,0
2023-01-02,Eastgate JHB,Kids Shoes,101.0,616.55,5.0,62271.55,Gauteng,0
2023-01-02,Eastgate JHB,Work Boots,23.0,1234.05,5.0,28383.15,Gauteng,0
2023-01-02,Online Store,Work Boots,197.0,1169.1,10.0,230312.7,Online,0
2023-01-02,Online Store,Kids Shoes,143.0,649.0,0.0,92807.0,Online,0
2023-01-02,Online Store,Sports Bag,123.0,799.0,0.0,98277.0,Online,0
2023-01-02,Online Store,Socks Bundle,205.0,179.1,10.0,36715.5,Online,0
2023-01-03,Fourways Mall,Sports Bag,0.0,759.05,5.0,0.0,Gauteng,0
2023-01-03,Fourways Mall,Kids Shoes,77.0,649.0,0.0,49973.0,Gauteng,0
2023-01-03,Fourways Mall,Socks Bundle,79.0,199.0,0.0,15721.0,Gauteng,0
2023-01-03,Fourways Mall,Formal Shoes,90.0,1899.0,0.0,170910.0,Gauteng,0
2023-01-03,Fourways Mall,Running Shoes,34.0,1499.0,0.0,50966.0,Gauteng,0
2023-01-03,Fourways Mall,Sandals,98.0,499.0,0.0,48902.0,Gauteng,0
2023-01-03,Sandton City,Formal Shoes,14.0,1804.05,5.0,25256.7,Gauteng,0
2023-01-03,Sandton City,Casual Sneakers,20.0,899.0,0.0,17980.0,Gauteng,0
2023-01-03,Sandton City,Socks Bundle,127.0,199.0,0.0,25273.0,Gauteng,0
2023-01-03,Menlyn Park,Sandals,16.0,474.05,5.0,7584.8,Gauteng,0
2023-01-03,Menlyn Park,Formal Shoes,37.0,1899.0,0.0,70263.0,Gauteng,0
2023-01-03,Menlyn Park,Socks Bundle,122.0,199.0,0.0,24278.0,Gauteng,0
2023-01-03,Menlyn Park,Running Shoes,0.0,1499.0,0.0,0.0,Gauteng,0
2023-01-03,Menlyn Park,Sports Bag,18.0,799.0,0.0,14382.0,Gauteng,0
2023-01-03,Menlyn Park,Work Boots,78.0,1169.1,10.0,91189.8,Gauteng,0
2023-01-03,Gateway Durban,Running Shoes,,1424.05,5.0,118196.15,KwaZulu-Natal,0
2023-01-03,Gateway Durban,Sandals,63.0,449.1,10.0,28293.3,KwaZulu-Natal,0
2023-01-03,Gateway Durban,Kids Shoes,81.0,649.0,0.0,52569.0,KwaZulu-Natal,0
2023-01-03,Gateway Durban,Formal Shoes,13.0,1899.0,0.0,24687.0,KwaZulu-Natal,0
2023-01-03,Gateway Durban,Casual Sneakers,47.0,899.0,0.0,42253.0,KwaZulu-Natal,0
2023-01-03,Canal Walk CT,Formal Shoes,8.0,1899.0,0.0,15192.0,Western Cape,0
2023-01-03,Canal Walk CT,Sports Bag,116.0,799.0,0.0,92684.0,Western Cape,0
2023-01-03,Canal Walk CT,Kids Shoes,30.0,649.0,0.0,19470.0,Western Cape,0
2023-01-03,Eastgate JHB,Kids Shoes,62.0,649.0,0.0,40238.0,Gauteng,0
2023-01-03,Eastgate JHB,Formal Shoes,22.0,1899.0,0.0,41778.0,Gauteng,0
2023-01-03,Eastgate JHB,Running Shoes,76.0,1349.1,10.0,102531.6,Gauteng,0
2023-01-03,Eastgate JHB,Work Boots,112.0,1169.1,10.0,130939.2,Gauteng,0
2023-01-03,Eastgate JHB,Sports Bag,79.0,759.05,5.0,59964.95,Gauteng,0
2023-01-03,Eastgate JHB,Casual Sneakers,108.0,809.1,10.0,87382.8,Gauteng,0
2023-01-03,Online Store,Casual Sneakers,37.0,809.1,10.0,29936.7,Online,0
2023-01-03,Online Store,Work Boots,,1299.0,0.0,46764.0,Online,0
2023-01-03,Online Store,Formal Shoes,121.0,1709.1,10.0,206801.1,Online,0
2023-01-03,Online Store,Sandals,11.0,499.0,0.0,5489.0,Online,0
2023-01-03,Online Store,Socks Bundle,106.0,179.1,10.0,18984.6,Online,0
2023-01-04,Fourways Mall,Running Shoes,103.0,1499.0,0.0,154397.0,Gauteng,0
2023-01-04,Fourways Mall,Work Boots,40.0,1299.0,0.0,51960.0,Gauteng,0
2023-01-04,Fourways Mall,Formal Shoes,114.0,1709.1,10.0,194837.4,Gauteng,0
2023-01-04,Fourways Mall,Sandals,111.0,449.1,10.0,49850.1,Gauteng,0
2023-01-04,Fourways Mall,Kids Shoes,43.0,616.55,5.0,26511.65,Gauteng,0
2023-01-04,Sandton City,Kids Shoes,83.0,584.1,10.0,48480.3,Gauteng,0
2023-01-04,Sandton City,Running Shoes,13.0,1349.1,10.0,17538.3,Gauteng,0
2023-01-04,Sandton City,Work Boots,46.0,1299.0,0.0,59754.0,Gauteng,0
2023-01-04,Menlyn Park,Sports Bag,47.0,799.0,0.0,37553.0,Gauteng,0
2023-01-04,Menlyn Park,Sandals,111.0,474.05,5.0,52619.55,Gauteng,0
2023-01-04,Menlyn Park,Socks Bundle,37.0,189.05,5.0,6994.85,Gauteng,0
2023-01-04,Menlyn Park,Work Boots,88.0,1234.05,5.0,108596.4,Gauteng,0
2023-01-04,Menlyn Park,Running Shoes,101.0,1424.05,5.0,143829.05,Gauteng,0
2023-01-04,Menlyn Park,Casual Sneakers,57.0,899.0,0.0,51243.0,Gauteng,0
2023-01-04,Gateway Durban,Sandals,33.0,474.05,5.0,15643.65,KwaZulu-Natal,0
2023-01-04,Gateway Durban,Formal Shoes,6.0,1899.0,0.0,11394.0,KwaZulu-Natal,0
2023-01-04,Gateway Durban,Socks Bundle,29.0,189.05,5.0,5482.45,KwaZulu-Natal,0
2023-01-04,Gateway Durban,Running Shoes,121.0,1349.1,10.0,163241.1,KwaZulu-Natal,0
2023-01-04,Gateway Durban,Sports Bag,51.0,719.1,10.0,36674.1,KwaZulu-Natal,0
2023-01-04,Gateway Durban,Casual Sneakers,88.0,899.0,0.0,79112.0,KwaZulu-Natal,0
2023-01-04,Canal Walk CT,Kids Shoes,48.0,584.1,10.0,28036.8,Western Cape,0
2023-01-04,Canal Walk CT,Running Shoes,67.0,1499.0,0.0,100433.0,Western Cape,0
2023-01-04,Canal Walk CT,Sandals,58.0,449.1,10.0,26047.8,Western Cape,0
2023-01-04,Canal Walk CT,Sports Bag,22.0,799.0,0.0,17578.0,Western Cape,0
2023-01-04,Eastgate JHB,Sandals,32.0,499.0,0.0,15968.0,Gauteng,0
2023-01-04,Eastgate JHB,Work Boots,15.0,1299.0,0.0,19485.0,Gauteng,0
2023-01-04,Eastgate JHB,Formal Shoes,8.0,1899.0,0.0,15192.0,Gauteng,0
2023-01-04,Eastgate JHB,Casual Sneakers,91.0,809.1,10.0,73628.1,Gauteng,0
2023-01-04,Eastgate JHB,Kids Shoes,61.0,649.0,0.0,39589.0,Gauteng,0
2023-01-04,Eastgate JHB,Socks Bundle,86.0,199.0,0.0,17114.0,Gauteng,0
2023-01-04,Online Store,Casual Sneakers,25.0,899.0,0.0,22475.0,Online,0
2023-01-04,Online Store,Work Boots,19.0,1299.0,0.0,24681.0,Online,0
2023-01-04,Online Store,Running Shoes,164.0,1424.05,5.0,233544.2,Online,0
2023-01-04,Online Store,Formal Shoes,182.0,1899.0,0.0,345618.0,Online,0
2023-01-04,Online Store,Kids Shoes,115.0,649.0,0.0,74635.0,Online,0
2023-01-05,Fourways Mall,Formal Shoes,47.0,1804.05,5.0,84790.35,Gauteng,0
2023-01-05,Fourways Mall,Socks Bundle,16.0,179.1,10.0,2865.6,Gauteng,0
2023-01-05,Fourways Mall,Sandals,119.0,499.0,0.0,59381.0,Gauteng,0
2023-01-05,Sandton City,Sandals,29.0,499.0,0.0,14471.0,Gauteng,0
