date,source_medium,device_category,sessions,bounce_rate_pct,pages_per_session,avg_session_duration_sec,transactions,revenue_zar,conversion_rate_pct,landing_page,is_promo_period
2023-01-01,(direct) / none,mobile,16,37.5,4.28,224.8,0,0.0,1.32,/products/casual-sneakers,0
2023-01-01,email / newsletter,desktop,27,65.4,4.62,114.3,1,507.8,4.53,/order-confirmation,0
2023-01-01,email / newsletter,mobile,74,70.1,2.97,243.5,1,717.64,1.93,/about,0
2023-01-01,facebook / paid,desktop,62,36.0,5.4,271.1,0,0.0,0.99,/checkout,0
2023-01-01,facebook / paid,desktop,94,44.1,3.65,136.2,0,0.0,1.05,/sale,0
2023-01-01,google / organic,mobile,20,59.6,1.82,157.5,0,0.0,2.79,/checkout,0
2023-01-01,(direct) / none,mobile,33,69.3,2.47,113.4,1,1057.06,4.08,/checkout,0
2023-01-01,google / organic,desktop,82,37.8,4.51,73.1,3,4284.24,4.25,/about,0
2023-01-01,google / cpc,desktop,33,,2.25,69.6,1,1121.41,3.72,/checkout,0
2023-01-01,instagram / paid,tablet,95,56.1,4.91,279.9,3,1226.26,4.17,/products/running-shoes,0
2023-01-01,google / organic,mobile,72,67.1,2.69,105.4,3,920.02,4.67,/products/casual-sneakers,0
2023-01-01,google / cpc,mobile,28,52.4,2.94,125.2,1,438.72,5.81,/sale,0
2023-01-01,facebook / paid,mobile,29,38.2,3.49,81.0,1,533.01,4.55,/products/casual-sneakers,0
2023-01-01,facebook / paid,mobile,40,61.9,4.38,77.7,2,1057.35,5.3,/sale,0
2023-01-01,google / organic,mobile,51,47.8,4.16,219.2,2,2219.36,4.64,/checkout,0
2023-01-01,google / cpc,mobile,33,45.1,2.04,240.7,1,506.64,3.55,/products/casual-sneakers,0
2023-01-01,instagram / paid,mobile,54,44.0,1.99,186.9,1,659.29,1.92,/checkout,0
2023-01-01,facebook / paid,desktop,48,74.8,4.86,213.9,0,0.0,1.7,/cart,0
2023-01-01,instagram / paid,mobile,80,38.5,3.26,191.6,3,3947.33,4.7,/home,0
2023-01-01,google / organic,mobile,14,63.6,4.89,168.3,0,0.0,5.96,/checkout,0
2023-01-01,email / newsletter,mobile,61,59.6,4.57,76.7,3,3563.63,5.93,/about,0
2023-01-01,instagram / paid,mobile,10,38.1,3.65,195.5,0,0.0,5.58,/sale,0
2023-01-01,instagram / paid,desktop,93,41.3,1.56,85.9,5,5513.95,5.78,/home,0
2023-01-01,instagram / paid,mobile,89,66.2,4.44,119.3,1,1495.23,1.3,/about,0
2023-01-01,(direct) / none,desktop,66,53.4,1.5,114.2,3,1223.27,5.31,/products/casual-sneakers,0
2023-01-01,google / cpc,tablet,84,39.8,4.6,59.1,0,0.0,1.11,/home,0
2023-01-01,(direct) / none,desktop,29,56.4,4.72,158.5,0,0.0,3.17,/order-confirmation,0
2023-01-01,google / cpc,mobile,89,54.9,3.54,274.9,2,917.52,2.84,/checkout,0
2023-01-01,google / organic,desktop,34,45.7,2.39,71.6,0,0.0,1.8,/cart,0
2023-01-01,google / organic,mobile,94,43.3,2.95,112.5,1,331.61,1.18,/sale,0
2023-01-01,facebook / paid,mobile,30,46.0,2.93,227.2,1,1000.83,4.16,/products/casual-sneakers,0
2023-01-02,google / cpc,mobile,82,,4.95,259.8,4,4957.48,5.69,/about,0
2023-01-02,instagram / paid,mobile,183,36.0,4.19,86.2,9,5868.12,5.42,/sale,0
2023-01-02,(direct) / none,mobile,266,53.6,2.12,134.9,8,3848.66,3.25,/order-confirmation,0
