customer_id,province,acquisition_channel,customer_segment,num_purchases,total_clv_zar,days_since_last_purchase,churn_probability,churn_risk_tier
CUST02823,unknown,Google Search,High Value,20,33798.67,643,0.9999995564031954,Critical
CUST02206,Gauteng,Google Search,High Value,20,25803.95,1200,0.9999995121166603,Critical
CUST07647,Gauteng,Organic,High Value,12,20862.15,1156,0.9999993687489291,Critical
CUST00603,Gauteng,Google Search,High Value,13,19758.79,1024,0.9999993486433384,Critical
CUST05776,Eastern Cape,Google Display,High Value,24,25156.28,1269,0.9999990814794367,Critical
CUST07351,Western Cape,Google Search,High Value,14,20800.5,719,0.9999990659402753,Critical
CUST01559,Gauteng,Email,High Value,17,21550.75,1156,0.9999990317427006,Critical
CUST04398,KwaZulu-Natal,Meta Facebook,High Value,16,23844.39,1166,0.9999990210119133,Critical
CUST01569,KwaZulu-Natal,Google Display,High Value,18,20301.77,1065,0.9999989437548652,Critical
CUST01738,Gauteng,Meta Instagram,High Value,19,26482.87,599,0.9999989292557049,Critical
CUST06215,Gauteng,Google Search,High Value,8,13848.6,1014,0.9999988147546474,Critical
CUST02423,Gauteng,Google Search,High Value,20,20168.03,1062,0.999998737191129,Critical
CUST02973,Western Cape,Organic,High Value,14,15447.36,1165,0.9999987269204522,Critical
CUST00607,Gauteng,Google Display,High Value,20,21122.02,412,0.9999986959305869,Critical
CUST07388,Eastern Cape,Meta Instagram,High Value,17,25014.13,1147,0.9999986408141521,Critical
CUST01576,KwaZulu-Natal,Google Display,High Value,9,14765.05,849,0.9999985085615963,Critical
CUST07945,Gauteng,Meta Facebook,High Value,12,13005.59,706,0.9999984971187563,Critical
CUST00252,KwaZulu-Natal,Meta Instagram,High Value,14,20070.41,1218,0.9999984604996102,Critical
CUST05211,Gauteng,Email,High Value,13,14113.29,1143,0.9999983825959023,Critical
CUST01798,Gauteng,Google Search,High Value,9,13847.91,1106,0.9999982885572725,Critical
CUST02334,Gauteng,Google Search,High Value,11,14228.77,1101,0.9999982584435542,Critical
CUST00466,Gauteng,Google Search,High Value,18,22296.68,1041,0.999998254127023,Critical
CUST06144,KwaZulu-Natal,Google Search,Lapsed,22,20134.01,1298,0.9999981656945918,Critical
CUST03669,Western Cape,Google Display,High Value,13,18871.52,1027,0.9999981536432541,Critical
CUST07121,Gauteng,Google Search,High Value,18,20539.98,1162,0.9999981388078022,Critical
CUST01868,unknown,Google Search,Lapsed,14,2131.31,1066,0.9999981235619099,Critical
CUST04158,Gauteng,Email,High Value,20,20937.21,737,0.9999981129583424,Critical
CUST01049,Western Cape,Organic,High Value,10,11063.83,1012,0.9999980765391259,Critical
CUST01418,Gauteng,Email,Lapsed,14,13810.27,624,0.9999980680979296,Critical
CUST04966,unknown,Google Display,High Value,18,20395.7,1051,0.9999980376558703,Critical
CUST01270,Gauteng,Email,High Value,14,21265.8,654,0.9999980337723473,Critical
CUST03424,KwaZulu-Natal,Google Search,High Value,10,10894.87,678,0.9999980314381088,Critical
CUST05153,Western Cape,Organic,Lapsed,5,8253.28,1212,0.9999978666484866,Critical
CUST05196,Gauteng,Meta Facebook,High Value,11,11928.13,286,0.9999978362942397,Critical
CUST06155,Western Cape,Email,High Value,10,15121.26,1024,0.999997783548395,Critical
CUST07406,Gauteng,Google Search,Lapsed,26,25661.23,687,0.9999977436841433,Critical
CUST04312,Gauteng,Google Display,High Value,14,15261.81,894,0.9999976940037935,Critical
CUST05146,Limpopo,Google Search,Lapsed,22,20250.51,621,0.9999976501186866,Critical
CUST04442,Limpopo,Meta Instagram,High Value,15,21154.57,935,0.9999976293590482,Critical
CUST00910,Limpopo,Organic,High Value,15,16640.64,855,0.9999974750955569,Critical
CUST01441,KwaZulu-Natal,Google Search,High Value,23,25979.12,1478,0.9999974652388357,Critical
CUST03409,Eastern Cape,Google Search,High Value,15,23444.1,1624,0.9999974290773416,Critical
CUST04455,Eastern Cape,Meta Facebook,High Value,17,20569.72,1236,0.9999974081678197,Critical
CUST02306,Gauteng,Google Display,Lapsed,19,16971.87,1310,0.9999973907518854,Critical
CUST04047,Gauteng,Email,High Value,8,12261.01,680,0.9999973796093544,Critical
CUST04999,Limpopo,Meta Instagram,High Value,12,12340.56,543,0.9999973616126521,Critical
CUST07763,KwaZulu-Natal,Meta Instagram,Lapsed,5,7507.6,926,0.9999973608136734,Critical
CUST05619,KwaZulu-Natal,Google Search,Lapsed,22,12110.17,1212,0.9999973372767612,Critical
CUST04837,Western Cape,Meta Facebook,High Value,14,15293.52,523,0.9999973039192849,Critical
CUST05573,Gauteng,Google Search,High Value,15,19616.3,849,0.9999972606021775,Critical
CUST03714,KwaZulu-Natal,Meta Facebook,Lapsed,5,8190.43,1133,0.9999972426855996,Critical
CUST00728,Gauteng,Meta Facebook,High Value,15,19771.61,1116,0.9999972218366932,Critical
CUST04884,Western Cape,Meta Instagram,High Value,22,27032.0,631,0.9999971867365872,Critical
CUST07059,Gauteng,Meta Facebook,High Value,16,21723.22,442,0.9999971402655108,Critical
CUST00411,Eastern Cape,Google Search,Lapsed,25,21035.71,765,0.999997115898144,Critical
CUST01469,Gauteng,Meta Facebook,High Value,9,11317.26,282,0.9999970918733776,Critical
CUST06851,Eastern Cape,Meta Instagram,Lapsed,28,24585.65,810,0.9999970493072847,Critical
CUST00014,Gauteng,Google Search,High Value,10,15146.79,754,0.9999970050763446,Critical
CUST06732,Gauteng,Email,High Value,12,16709.4,1279,0.9999969717204608,Critical
CUST07239,KwaZulu-Natal,Google Search,Lapsed,19,16980.12,650,0.9999969212369595,Critical
CUST07316,Gauteng,Organic,High Value,17,21446.14,873,0.9999968408579318,Critical
CUST05340,Gauteng,Meta Instagram,Lapsed,15,14445.24,875,0.9999968316973156,Critical
CUST02554,Gauteng,Google Search,High Value,10,14012.64,1296,0.9999968155798229,Critical
CUST05392,KwaZulu-Natal,Google Search,High Value,13,13820.3,969,0.9999967962893166,Critical
CUST00977,Gauteng,Google Display,Lapsed,7,10984.98,880,0.9999967736155421,Critical
CUST06538,KwaZulu-Natal,Google Search,High Value,13,13465.94,961,0.9999967332513666,Critical
CUST05053,unknown,Meta Instagram,High Value,18,18987.74,896,0.9999967135061733,Critical
CUST03892,Eastern Cape,Organic,Lapsed,14,11910.49,1029,0.9999965791256529,Critical
CUST05309,Gauteng,Meta Instagram,High Value,12,13131.88,755,0.9999965651522355,Critical
CUST05511,Eastern Cape,Meta Instagram,High Value,13,15841.11,860,0.999996503744791,Critical
CUST00594,Eastern Cape,Meta Facebook,High Value,12,15831.93,924,0.999996461872138,Critical
CUST06563,Western Cape,Google Search,Lapsed,4,7156.56,1209,0.9999964319583705,Critical
CUST01085,Western Cape,Meta Instagram,High Value,14,14873.15,815,0.9999964301544157,Critical
CUST03386,Gauteng,Google Search,Lapsed,18,14525.8,961,0.9999963675394998,Critical
CUST01488,Gauteng,Meta Facebook,Lapsed,16,12986.96,932,0.9999963621040138,Critical
CUST04737,KwaZulu-Natal,Google Display,High Value,12,14582.13,1182,0.9999963431518082,Critical
CUST04911,Gauteng,Meta Instagram,Lapsed,21,17625.84,1238,0.9999962957064558,Critical
CUST02193,Gauteng,Google Search,High Value,11,12156.25,920,0.999996291842948,Critical
CUST04985,KwaZulu-Natal,Google Search,Lapsed,22,16742.75,1363,0.9999962720195396,Critical
CUST03887,Gauteng,Google Search,Lapsed,19,12445.51,1006,0.9999961405307075,Critical
CUST03354,Gauteng,Google Display,High Value,14,18361.22,980,0.9999961220773389,Critical
CUST02466,Eastern Cape,Meta Instagram,High Value,14,16972.99,724,0.9999960551446894,Critical
CUST00967,Limpopo,Meta Instagram,Lapsed,12,11872.55,882,0.9999959993815393,Critical
CUST04168,Western Cape,Meta Instagram,Lapsed,3,5161.69,368,0.9999959754659472,Critical
CUST02692,Western Cape,Google Search,Lapsed,20,15751.37,1238,0.999995934718954,Critical
CUST05591,Gauteng,Google Search,Lapsed,11,2150.7,821,0.9999959298265825,Critical
CUST03373,Western Cape,Meta Facebook,High Value,13,18694.22,1042,0.9999959253650132,Critical
CUST05295,Gauteng,Organic,Lapsed,16,11746.19,1199,0.9999958958279156,Critical
CUST00409,Limpopo,Google Display,Lapsed,5,7469.15,1205,0.9999958748251309,Critical
CUST01463,Limpopo,Meta Facebook,Lapsed,16,15312.8,886,0.9999958350608689,Critical
CUST03994,Gauteng,Google Display,Lapsed,16,13184.95,1251,0.9999958190060493,Critical
CUST05676,Eastern Cape,Meta Instagram,High Value,8,10268.58,653,0.9999957373122796,Critical
CUST06161,Gauteng,Organic,High Value,13,15817.81,1051,0.9999957166810636,Critical
CUST06817,Gauteng,Meta Instagram,Lapsed,13,12437.63,924,0.9999956451328244,Critical
CUST06933,Western Cape,Google Search,High Value,9,12264.53,1031,0.9999956387657646,Critical
CUST05421,Gauteng,Meta Instagram,Lapsed,15,11628.73,901,0.9999956133257396,Critical
CUST00792,Western Cape,Google Search,Lapsed,12,11086.61,421,0.9999956016390006,Critical
CUST00309,Gauteng,Meta Facebook,High Value,15,17815.16,1095,0.9999955640275072,Critical
CUST04747,KwaZulu-Natal,Google Search,High Value,12,14016.09,1100,0.9999955476423307,Critical
CUST07231,Limpopo,Google Search,Lapsed,17,12198.95,712,0.9999955404555789,Critical
CUST04346,Gauteng,Google Display,High Value,8,8801.59,1228,0.9999954845652022,Critical
CUST04381,KwaZulu-Natal,Email,Lapsed,6,9536.89,1239,0.9999954645248141,Critical
CUST04161,Western Cape,Email,Lapsed,13,12487.25,1406,0.9999954519181905,Critical
CUST01533,Eastern Cape,Organic,High Value,9,9109.97,942,0.9999953987294182,Critical
CUST06710,Western Cape,Meta Facebook,High Value,13,14511.01,889,0.9999953756575382,Critical
CUST05154,Gauteng,Meta Facebook,High Value,11,12190.46,667,0.9999953299298796,Critical
CUST05157,Gauteng,Google Display,High Value,12,14879.25,830,0.9999953275893044,Critical
CUST07235,Limpopo,Meta Facebook,High Value,11,11466.27,498,0.9999953122581288,Critical
CUST04867,Gauteng,Google Search,High Value,11,14544.3,1508,0.9999953120155012,Critical
CUST00880,Gauteng,Meta Facebook,High Value,12,14095.98,1081,0.9999953035452878,Critical
CUST00200,KwaZulu-Natal,Google Display,Lapsed,5,8263.64,995,0.9999952562134379,Critical
CUST01604,Western Cape,Google Search,Lapsed,15,14094.72,558,0.9999952501742734,Critical
CUST07614,Limpopo,Meta Instagram,Lapsed,5,7892.95,881,0.999995233725887,Critical
CUST06911,unknown,Email,High Value,9,12536.86,982,0.9999951667981886,Critical
CUST05382,Western Cape,Meta Facebook,High Value,10,10879.69,700,0.9999951142794682,Critical
CUST04009,KwaZulu-Natal,Google Search,High Value,12,16231.99,1070,0.9999950832514221,Critical
